Model,Dataset,Ranker,Oracle,Avg_NDCG@10,Avg_Comparisons,Avg_PromptTokens
qwen3-0.6b,dl-2020,pac top-k (optimized),bidirectional,0.4796368518518519,290.0,54.03103448275861
qwen3-0.6b,dl-2020,pac top-k (optimized),sampling,0.4796368518518519,145.0,54.03103448275861
qwen3-0.6b,dl-2020,prp sort (classic),bidirectional,0.23494055555555557,1535.4444444444443,22.490955133645343
qwen3-0.6b,dl-2020,prp sort (classic),sampling,0.23494055555555557,767.7222222222222,22.490955133645343
qwen3-0.6b,dl-2020,quick sort (classic),bidirectional,0.2493811111111111,69515.14814814815,9.687512988501032
qwen3-0.6b,dl-2020,quick sort (classic),sampling,0.2493811111111111,34757.57407407407,9.687512988501032
qwen3-4b-instruct,dl-2019,bubble sort (classic),bidirectional,0.676993488372093,1490.9767441860465,182.6115861028031
qwen3-4b-instruct,dl-2019,bubble sort (classic),sampling,0.7088886046511628,4881.720930232558,229.7582249182503
qwen3-4b-instruct,dl-2019,mohajer (ir),bidirectional,0.6569879069767441,965.4418604651163,106.20658421164487
qwen3-4b-instruct,dl-2019,mohajer (ir),sampling,0.6577367441860464,564.0232558139535,107.86179555609519
qwen3-4b-instruct,dl-2019,mohajer + bubble,bidirectional,0.6608523255813954,994.0930232558139,110.33507594974465
qwen3-4b-instruct,dl-2019,mohajer + bubble,sampling,0.6738218604651163,677.8139534883721,131.4614808492217
qwen3-4b-instruct,dl-2019,pac + bubble,bidirectional,0.6280593023255814,313.5813953488372,243.64464457107402
qwen3-4b-instruct,dl-2019,pac + bubble,sampling,0.630026511627907,183.7906976744186,244.44173857370367
qwen3-4b-instruct,dl-2019,pac top-k (optimized),bidirectional,0.5876899999999999,290.0,243.16583801122692
qwen3-4b-instruct,dl-2019,pac top-k (optimized),sampling,0.5961853488372093,145.0,243.16583801122692
qwen3-4b-instruct,dl-2019,prp sort (classic),bidirectional,0.31718813953488373,2490.232558139535,143.79833760906996
qwen3-4b-instruct,dl-2019,prp sort (classic),sampling,0.31718813953488373,1426.4186046511627,154.6160653390292
qwen3-4b-instruct,dl-2019,quick sort (classic),bidirectional,0.5677516279069768,43247.58139534884,18.497190829672245
qwen3-4b-instruct,dl-2019,quick sort (classic),sampling,0.5362100000000001,20523.511627906977,20.033547557474847
qwen3-4b-instruct,dl-2020,bubble sort (classic),bidirectional,0.5216974074074074,694.2962962962963,40.40176842906172
qwen3-4b-instruct,dl-2020,bubble sort (classic),sampling,0.5210214814814814,1255.5,54.12831984877739
qwen3-4b-instruct,dl-2020,mohajer (ir),bidirectional,0.24389574074074075,775.0370370370371,24.002533241090486
qwen3-4b-instruct,dl-2020,mohajer (ir),sampling,0.2463775925925926,523.5925925925926,24.290037695930348
qwen3-4b-instruct,dl-2020,mohajer + bubble,bidirectional,0.24283574074074074,789.5185185185185,25.046286420744536
qwen3-4b-instruct,dl-2020,mohajer + bubble,sampling,0.24656055555555556,566.8518518518518,30.56925155049777
qwen3-4b-instruct,dl-2020,pac + bubble,bidirectional,0.5116525925925925,301.3333333333333,53.15406040190234
qwen3-4b-instruct,dl-2020,pac + bubble,sampling,0.5126222222222222,161.12962962962962,53.40675488796709
qwen3-4b-instruct,dl-2020,pac top-k (optimized),bidirectional,0.5036398148148148,290.0,53.14214559386973
qwen3-4b-instruct,dl-2020,pac top-k (optimized),sampling,0.5048607407407407,145.0,53.14214559386973
qwen3-4b-instruct,dl-2020,prp sort (classic),bidirectional,0.2409787037037037,1721.3703703703704,32.47689108588389
qwen3-4b-instruct,dl-2020,prp sort (classic),sampling,0.243585,918.5370370370371,36.45628946899016
qwen3-4b-instruct,dl-2020,quick sort (classic),bidirectional,0.3043827777777778,62604.0,3.5173015071869065
qwen3-4b-instruct,dl-2020,quick sort (classic),sampling,0.30102407407407406,30865.314814814814,3.8844763395900763
